ID,Sex,Animal Weight,Material,Session,Cohort,Fluid,Concentration,Start,Stop,Leak,Diff,Intake,mls,mlskg
3D,F,18,Metal,3,2,Water,,50.36,46.48,,3.8800000000000026,215.55555555555569,3.8800000000000026,
4D,F,19,Metal,3,2,Water,,48.45,43.89,,4.560000000000002,240.0000000000001,4.560000000000002,
5D,M,23,Metal,3,2,Water,,51.32,48.04,,3.280000000000001,142.60869565217396,3.280000000000001,
6D,M,23,Metal,3,2,Water,,52.69,49.54,,3.1499999999999986,136.95652173913038,3.1499999999999986,
7D,M,23,Metal,3,2,Water,,50.43,47.67,,2.759999999999998,119.99999999999991,2.759999999999998,
1C,F,19,Plastic,4,2,Quinine,100,16.63,15.47,,1.1599999999999984,61.052631578947285,,59.13431442
2C,F,20,Plastic,4,2,Quinine,100,16.94,16.46,,0.4800000000000004,24.00000000000002,,23.24590291
4C,F,20,Plastic,4,2,Quinine,100,18.2,17.36,,0.8399999999999999,41.99999999999999,,40.68033009182131
5C,M,26,Plastic,4,2,Quinine,100,17.85,17.57,,0.28000000000000114,10.769230769230813,,10.430853869697815
7C,M,25,Plastic,4,2,Quinine,100,17.78,17.32,,0.46000000000000085,18.400000000000034,,17.82185889736937
1C,F,19,Plastic,4,2,Water,,16.39,14.02,,2.370000000000001,124.73684210526321,2.370000000000001,
2C,F,20,Plastic,4,2,Water,,17.01,13.8,,3.210000000000001,160.50000000000003,3.210000000000001,
3C,F,20,Plastic,4,2,Water,,16.6,12.38,,4.220000000000001,211.00000000000003,4.220000000000001,
5C,M,26,Plastic,4,2,Water,,17.16,14.2,,2.960000000000001,113.84615384615387,2.960000000000001,
6C,M,26,Plastic,4,2,Water,,16.41,12.35,,4.0600000000000005,156.15384615384616,4.0600000000000005,
7C,M,25,Plastic,4,2,Water,,16.49,13.66,,2.8299999999999983,113.19999999999993,2.8299999999999983,
2D,F,20,Metal,4,2,Quinine,100,54.3,54.01,,0.28999999999999915,14.499999999999957,,14.044399674557317
3D,F,18,Metal,4,2,Quinine,100,51.7,50.1,,1.6000000000000014,88.88888888888896,,86.09593670226741
5D,M,23,Metal,4,2,Quinine,100,54.39,53.13,,1.259999999999998,54.78260869565209,,53.06130011976685
4D,F,19,Metal,4,2,Water,,53.78,49.62,,4.160000000000004,218.94736842105283,4.160000000000004,
5D,M,23,Metal,4,2,Water,,48.04,44.5,,3.539999999999999,153.91304347826085,3.539999999999999,
6D,M,23,Metal,4,2,Water,,49.54,45.77,,3.769999999999996,163.9130434782607,3.769999999999996,
7D,M,23,Metal,4,2,Water,,47.67,44.25,,3.4200000000000017,148.69565217391312,3.4200000000000017,
